Age,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_M,Cabin_T,Embarked_C,Embarked_Q,Embarked_S,Family_cat_Alone,Family_cat_Large,Family_cat_Small,Fare,Pclass,Sex_female,Sex_male,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Other,Title_Rev
17,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,7.925,3,1,0,0,1,0,0,0,0
26,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,8.6625,3,0,1,0,0,1,0,0,0
32,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,10.5,2,0,1,0,0,1,0,0,0
16,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,46.9,3,1,0,0,1,0,0,0,0
21,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,73.5,2,0,1,0,0,1,0,0,0
26,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,14.4542,3,0,1,0,0,1,0,0,0
32,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,56.4958,3,0,1,0,0,1,0,0,0
25,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,7.65,3,0,1,0,0,1,0,0,0
26,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.8958,3,0,1,0,0,1,0,0,0
26,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,8.05,3,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,29.0,2,0,1,1,0,0,0,0,0
30,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,12.475,3,1,0,0,1,0,0,0,0
22,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,9.0,3,0,1,0,0,1,0,0,0
29,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,9.5,3,0,1,0,0,1,0,0,0
21,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,7.7875,3,1,0,0,1,0,0,0,0
28,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,47.1,1,0,1,0,0,1,0,0,0
17,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,10.5,2,1,0,0,1,0,0,0,0
33,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,15.85,3,1,0,0,0,0,1,0,0
16,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,34.375,3,0,1,0,0,1,0,0,0
26,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,8.05,3,0,1,0,0,1,0,0,0
23,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,263.0,1,1,0,0,1,0,0,0,0
24,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,8.05,3,0,1,0,0,1,0,0,0
29,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,8.05,3,0,1,0,0,1,0,0,0
20,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.8542,3,0,1,0,0,1,0,0,0
46,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,61.175,1,0,1,0,0,1,0,0,0
26,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,20.575,3,0,1,0,0,1,0,0,0
59,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.25,3,0,1,0,0,1,0,0,0
26,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,8.05,3,0,1,0,0,1,0,0,0
71,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,34.6542,1,0,1,0,0,1,0,0,0
23,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,63.3583,1,0,1,0,0,1,0,0,0
34,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,23.0,2,1,0,0,0,0,1,0,0
34,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,26.0,2,0,1,0,0,1,0,0,0
28,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.8958,3,1,0,0,1,0,0,0,0
26,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.8958,3,0,1,0,0,1,0,0,0
21,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,77.2875,1,0,1,0,0,1,0,0,0
33,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,8.6542,3,0,1,0,0,1,0,0,0
37,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,7.925,3,0,1,0,0,1,0,0,0
28,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.8958,3,0,1,0,0,1,0,0,0
21,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.65,3,1,0,0,1,0,0,0,0
26,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.775,3,0,1,0,0,1,0,0,0
38,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.8958,3,0,1,0,0,1,0,0,0
21,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,24.15,3,1,0,0,1,0,0,0,0
47,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,52.0,1,0,1,0,0,1,0,0,0
14,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,14.4542,3,1,0,0,1,0,0,0,0
22,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,8.05,3,0,1,0,0,1,0,0,0
20,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,9.825,3,1,0,0,1,0,0,0,0
17,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,14.4583,3,1,0,0,1,0,0,0,0
21,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.925,3,0,1,0,0,1,0,0,0
70,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,7.75,3,0,1,0,0,1,0,0,0
29,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,21.0,2,0,1,0,0,1,0,0,0
24,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,247.5208,1,0,1,0,0,1,0,0,0
2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,31.275,3,1,0,0,1,0,0,0,0
21,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,73.5,2,0,1,0,0,1,0,0,0
26,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,8.05,3,0,1,0,0,1,0,0,0
32,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,30.0708,2,0,1,0,0,1,0,0,0
32,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,13.0,2,1,0,0,1,0,0,0,0
54,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,77.2875,1,0,1,0,0,1,0,0,0
12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,11.2417,3,0,1,1,0,0,0,0,0
26,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,7.75,3,0,1,0,0,1,0,0,0
24,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.1417,3,0,1,0,0,1,0,0,0
21,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,22.3583,3,1,0,0,1,0,0,0,0
45,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,6.975,3,0,1,0,0,1,0,0,0
33,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,7.8958,3,0,1,0,0,1,0,0,0
20,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.05,3,0,1,0,0,1,0,0,0
47,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,14.5,3,1,0,0,0,0,1,0,0
29,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,26.0,2,1,0,0,0,0,1,0,0
25,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,13.0,2,0,1,0,0,1,0,0,0
23,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,15.0458,2,0,1,0,0,1,0,0,0
19,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,26.2833,1,1,0,0,1,0,0,0,0
37,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,53.1,1,0,1,0,0,1,0,0,0
16,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,9.2167,3,0,1,0,0,1,0,0,0
24,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,79.2,1,0,1,0,0,1,0,0,0
21,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,15.2458,3,1,0,0,0,0,1,0,0
22,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.75,3,1,0,0,1,0,0,0,0
24,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,15.85,3,1,0,0,0,0,1,0,0
19,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,6.75,3,0,1,0,0,1,0,0,0
18,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,11.5,2,0,1,0,0,1,0,0,0
19,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,36.75,2,0,1,0,0,1,0,0,0
27,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.7958,3,0,1,0,0,1,0,0,0
9,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,34.375,3,1,0,0,1,0,0,0,0
36,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,26.0,2,0,1,0,0,1,0,0,0
42,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,13.0,2,0,1,0,0,0,0,0,1
51,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,12.525,2,0,1,0,0,0,0,0,1
22,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,66.6,1,1,0,0,0,0,1,0,0
55,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,8.05,3,0,1,0,0,1,0,0,0
40,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,14.5,3,0,1,0,0,1,0,0,0
26,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.3125,3,0,1,0,0,1,0,0,0
51,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,61.3792,1,0,1,0,0,1,0,0,0
16,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,7.7333,3,1,0,0,1,0,0,0,0
30,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,8.05,3,0,1,0,0,1,0,0,0
26,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,8.6625,3,0,1,0,0,1,0,0,0
26,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,69.55,3,0,1,1,0,0,0,0,0
44,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,16.1,3,0,1,0,0,1,0,0,0
40,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,15.75,2,1,0,0,0,0,1,0,0
26,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.775,3,0,1,0,0,1,0,0,0
17,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,8.6625,3,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,39.6875,3,0,1,1,0,0,0,0,0
9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,20.525,3,0,1,1,0,0,0,0,0
34,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,55.0,1,1,0,0,0,0,1,0,0
45,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,27.9,3,1,0,0,0,0,1,0,0
41,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,25.925,1,0,1,0,0,1,0,0,0
28,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,56.4958,3,0,1,0,0,1,0,0,0
61,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,33.5,1,0,1,0,0,1,0,0,0
4,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,29.125,3,0,1,1,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,11.1333,3,1,0,0,1,0,0,0,0
21,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.925,3,0,1,0,0,1,0,0,0
56,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,30.6958,1,0,1,0,0,1,0,0,0
18,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,7.8542,3,0,1,0,0,1,0,0,0
26,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,25.4667,3,0,1,1,0,0,0,0,0
50,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,28.7125,1,1,0,0,1,0,0,0,0
30,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,13.0,2,0,1,0,0,1,0,0,0
36,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0.0,3,0,1,0,0,1,0,0,0
21,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,69.55,3,1,0,0,1,0,0,0,0
30,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,15.05,2,0,1,0,0,1,0,0,0
9,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,31.3875,3,0,1,1,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,39.0,2,0,1,1,0,0,0,0,0
4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,22.025,3,1,0,0,1,0,0,0,0
41,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,50.0,1,0,1,0,0,1,0,0,0
21,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,15.5,3,1,0,0,0,0,1,0,0
45,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,26.55,1,0,1,0,0,1,0,0,0
40,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,15.5,3,0,1,0,0,1,0,0,0
36,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.8958,3,0,1,0,0,1,0,0,0
32,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,13.0,2,1,0,0,0,0,1,0,0
19,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,13.0,2,0,1,0,0,1,0,0,0
19,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,7.8542,3,1,0,0,1,0,0,0,0
3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,26.0,2,0,1,1,0,0,0,0,0
44,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,27.7208,1,1,0,0,0,0,1,0,0
58,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,146.5208,1,1,0,0,1,0,0,0,0
26,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,7.75,3,0,1,0,0,1,0,0,0
42,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,8.4042,3,0,1,0,0,1,0,0,0
21,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,7.75,3,1,0,0,1,0,0,0,0
24,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,13.0,2,1,0,0,1,0,0,0,0
28,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,9.5,3,0,1,0,0,1,0,0,0
26,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,69.55,3,0,1,0,0,1,0,0,0
34,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,6.4958,3,0,1,0,0,1,0,0,0
45,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,7.225,3,0,1,0,0,1,0,0,0
18,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,8.05,3,0,1,0,0,1,0,0,0
2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,10.4625,3,1,0,0,1,0,0,0,0
32,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,15.85,3,0,1,0,0,1,0,0,0
26,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,18.7875,3,0,1,0,0,1,0,0,0
16,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,7.75,3,1,0,0,1,0,0,0,0
40,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,31.0,1,0,1,0,0,1,0,0,0
24,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.05,3,0,1,0,0,1,0,0,0
35,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,21.0,2,1,0,0,1,0,0,0,0
22,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.25,3,0,1,0,0,1,0,0,0
30,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,13.0,2,0,1,0,0,1,0,0,0
26,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,7.75,3,0,1,0,0,1,0,0,0
31,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,113.275,1,1,0,0,1,0,0,0,0
27,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.925,3,1,0,0,1,0,0,0,0
42,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,27.0,2,0,1,0,0,1,0,0,0
32,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,76.2917,1,1,0,0,1,0,0,0,0
30,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,10.5,2,0,1,0,0,1,0,0,0
16,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,8.05,3,0,1,0,0,1,0,0,0
27,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,13.0,2,0,1,0,0,1,0,0,0
51,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,8.05,3,0,1,0,0,1,0,0,0
26,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.8958,3,0,1,0,0,1,0,0,0
38,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,90.0,1,0,1,0,0,1,0,0,0
22,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,9.35,3,0,1,0,0,1,0,0,0
19,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,10.5,2,0,1,0,0,1,0,0,0
20,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.25,3,0,1,0,0,1,0,0,0
18,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,13.0,2,0,1,0,0,1,0,0,0
21,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,25.4667,3,1,0,0,1,0,0,0,0
35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,83.475,1,1,0,0,0,0,1,0,0
29,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.775,3,0,1,0,0,1,0,0,0
59,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,13.5,2,0,1,0,0,1,0,0,0
5,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,31.3875,3,1,0,0,1,0,0,0,0
24,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,10.5,2,0,1,0,0,1,0,0,0
21,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.55,3,1,0,0,1,0,0,0,0
44,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,26.0,2,0,1,0,0,1,0,0,0
8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,26.25,2,1,0,0,1,0,0,0,0
19,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,10.5,2,0,1,0,0,1,0,0,0
33,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,12.275,2,0,1,0,0,1,0,0,0
21,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,14.4542,3,1,0,0,1,0,0,0,0
21,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,15.5,3,1,0,0,1,0,0,0,0
29,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,10.5,2,0,1,0,0,1,0,0,0
22,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.125,3,0,1,0,0,1,0,0,0
30,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,7.225,3,0,1,0,0,1,0,0,0
44,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,90.0,1,0,1,0,0,0,0,1,0
25,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.775,3,1,0,0,1,0,0,0,0
24,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,14.5,2,1,0,0,0,0,1,0,0
37,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,52.5542,1,0,1,0,0,1,0,0,0
54,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,26.0,2,0,1,0,0,0,0,0,1
26,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.25,3,0,1,0,0,1,0,0,0
